Human gene name,Gene name
SCARNA1,Gm22767
RN7SKP152,Gm25057
RNU6-1160P,Gm26449
RF00561,Gm23315
RF00423,Gm26413
RF01884,Gm27717
MIR30B,Mir30b
GTF2F1,Gtf2f1
RNU1-64P,Gm25489
RF01848,Rnu3b2
MIR103A2,Mir103-2
RF02271,Gm27820
SCARNA21,Gm22442
RF02271,Gm27373
RNU6-1307P,Gm24750
RF00426,Gm26413
SCARNA4,Gm26413
RF02189,Gm27542
RNA5SP531,Gm24009
SCARNA18B,Gm25663
RNU1-38P,Gm25440
RNU1-88P,Gm25440
RNU6-812P,Gm22887
RNU6-1191P,Gm23431
RNU6-53P,Gm23431
SNORD3D,Rnu3b4
RN7SKP136,Gm24883
POLL,Poll
MIR489,Mir489
RNU4-34P,Gm25279
RF00622,Gm22714
MIR199A1,Mir199a-1
MIR412,Mir412
RF02271,Gm27457
SNORD116-2,Gm24153
SNORD116-8,Gm24153
SNORD116-3,Gm24153
SNORD116-1,Gm24153
SNORD116-5,Gm24153
SNORD116-4,Gm24153
SNORD116-7,Gm24153
SNORD116-9,Gm24153
SNORD116-6,Gm24153
SNORD11B,Gm26287
IL11RA,Il11ra2
AL162231.3,Il11ra2
MIR372,Mir291b
SCARNA3,Scarna3a
SNORA74A,Snora74a
MIR187,Mir187
MIR874,Mir874
SNORD3D,Rnu3b1
RF00568,Gm22786
SNORA26,Gm22786
RF00134,Gm26457
MIR501,Mir501
MIR9-2,Mir9-2
RNU6-182P,Gm24593
RNU6-397P,Gm22612
RNU6-918P,Gm22612
RNU6-932P,Gm22612
RNU6-635P,Gm22612
RNU6-258P,Gm22769
RNU6-77P,Gm25792
RNU6-591P,Gm23229
MIR140,Mir140
MIR142,Mir142b
RF00568,Gm24988
SNORA26,Gm24988
SNORD116-2,Gm26270
SNORD116-8,Gm26270
SNORD116-3,Gm26270
SNORD116-1,Gm26270
SNORD116-5,Gm26270
SNORD116-4,Gm26270
SNORD116-7,Gm26270
SNORD116-9,Gm26270
SNORD116-6,Gm26270
RF00414,Gm23245
SNORA22B,Gm23245
SNORA22,Gm23245
SNORA22C,Gm23245
MIR302D,Mir302d
SNORD116-2,Gm24760
SNORD116-8,Gm24760
SNORD116-3,Gm24760
SNORD116-1,Gm24760
SNORD116-5,Gm24760
SNORD116-4,Gm24760
SNORD116-7,Gm24760
SNORD116-9,Gm24760
SNORD116-6,Gm24760
MIR15B,Mir15b
SNORA58,Mir3068
MIR504,Mir504
SNORD101,Gm23130
RNU2-59P,Gm24763
RF00399,Gm24338
SNORD116-2,Gm26504
SNORD116-8,Gm26504
SNORD116-3,Gm26504
SNORD116-1,Gm26504
SNORD116-5,Gm26504
SNORD116-4,Gm26504
SNORD116-7,Gm26504
SNORD116-9,Gm26504
SNORD116-6,Gm26504
RNU6ATAC16P,Gm24940
RNU6ATAC25P,Gm24940
RF00619,Gm24940
RNU6ATAC22P,Gm24940
RNU6ATAC15P,Gm24940
RNU6ATAC9P,Gm24940
RNU6-166P,Gm24611
RF02041,Gm27985
MIR30D,Mir30d
SNORA61,Gm23443
RNU6-365P,Gm22452
MIR26A2,Mir26a-2
RNU6-1220P,Gm24650
SNORD19,Snord19
RN7SL454P,Gm24812
RF02042,Gm27383
RNU6-578P,Gm25049
SNORD82,Snord82
RN7SKP129,Gm25807
RN7SKP284,Gm25807
RN7SKP240,Gm25807
RN7SKP135,Gm25807
RN7SKP121,Gm25807
RN7SKP263,Gm25807
SNORD116-2,Gm23767
SNORD116-8,Gm23767
SNORD116-3,Gm23767
SNORD116-1,Gm23767
SNORD116-5,Gm23767
SNORD116-4,Gm23767
SNORD116-7,Gm23767
SNORD116-9,Gm23767
SNORD116-6,Gm23767
GNPTG,Gnptg
RF00279,Snord45c
SNORD30,Gm22680
RN7SKP132,Gm22820
SNORD24,Gm23969
RN7SKP223,Gm23385
RN7SKP181,Gm23385
RN7SKP86,Gm24930
RF02110,Gm27972
RN7SKP110,Gm26028
RNU6-293P,Gm24817
RN7SKP239,Gm22481
RF00045,Snora73a
MIR34C,Mir34c
SNORD62B,Gm25632
TSR3,Tsr3
RNU6-815P,Gm25924
RNU6-291P,Gm25924
RN7SKP254,Gm23408
RN7SKP290,Gm23408
RNU6-1328P,Gm23341
RNU6-835P,Gm23341
RNU6-476P,Gm24925
MIR381,Mir381
SNORA47,Snora47
RNU6ATAC21P,Gm23879
RNU6-1158P,Gm22977
RNU2-30P,Gm23517
MIR335,Mir335
RN7SKP158,Gm26477
RF01225,Gm22156
RF00100,Gm22553
RF00026,Gm24848
SNORA10,Gm26418
RNU6-1028P,Gm25332
RNU6-1157P,Gm25332
MIR200B,Mir200b
MIR20A,Mir20a
RF01871,Gm27694
RNU6-1187P,Gm25918
RNU6ATAC10P,Gm22105
RNU6ATAC14P,Gm22105
RNU6ATAC13P,Gm22105
SNORA24,Gm26147
RNU6-612P,Gm24042
MIR196A2,Mir196a-2
FAM122A,Fam122a
RNU6-507P,Gm23901
RNU6-1313P,Gm23901
RN7SKP248,Gm25051
RNU6-627P,Gm23210
MIR146B,Mir146b
SNORD36B,Gm22879
RNA5SP150,n-R5s118
RNU6-1156P,Gm24480
SNORA77B,Gm25777
SNORA77,Gm25777
RNU4-72P,Gm26026
SNORD21,Snord21
SNORA6,Gm23456
RNU6-56P,Gm26166
MIR30A,Mir30a
SNORA14A,Gm26397
RNU6-1090P,Gm22943
RF02271,Gm27348
RNU12-2P,Gm22214
RNU6-850P,Gm23610
RNU6-369P,Gm24678
RF00056,Gm23893
RF00432,Gm22298
RNU6-1258P,Gm26279
RNU6-512P,Gm24522
RNU6-214P,Gm23523
RN7SKP297,Gm22026
RF02208,Gm27636
RNU6-148P,Gm22749
RN7SKP187,Gm23037
SNORA31,Gm24165
SCARNA11,Gm23751
SNORA21,Snora21
RNU4-57P,Gm25177
RNU4-55P,Gm25177
RNU6-1167P,Gm25811
RF02038,Gm27369
RNU1-96P,Gm25926
SCARNA8,Scarna8
RNU6-136P,Gm26371
RNU6-573P,Gm26371
RNU1-106P,Gm25704
RF01978,Gm27868
RF00019,Gm26329
RNU6-39P,Gm22645
SNORA41,Snora41
RN7SKP214,Gm23959
RNU6-399P,Gm25797
RNU6-486P,Gm25797
RNU6-338P,Gm25797
RNU6-916P,Gm26055
SNORD18A,Gm23344
SCARNA5,Gm25395
SNORD35A,Snord35a
MIR455,Mir455
RNU2-21P,Gm24764
RNU6-608P,Gm22448
RNU6-638P,Gm24060
MIR100,Mir100
MIR190A,Mir190a
SNORD93,Mir3096
RF00017,Gm25574
RN7SL73P,Gm25574
RN7SL670P,Gm25574
RN7SL405P,Gm25574
RNU6-826P,Gm24960
RNU6-564P,Gm24960
RNU6-234P,Gm23754
SNORD105,Gm24067
RF00017,Gm27651
RN7SL73P,Gm27651
RN7SL670P,Gm27651
RN7SL405P,Gm27651
SNORD58B,Snord58b
RF00151,Snord58b
RN7SKP4,Gm27500
RF00603,Gm23839
RF00092,Gm23772
SNORD18C,Gm22455
SNORD70,Snord70
PRAMEF5,Gm3286
PRAMEF15,Gm3286
PRAMEF12,Gm3286
PRAMEF20,Gm3286
PRAMEF19,Gm3286
PRAMEF11,Gm3286
PRAMEF8,Gm3286
PRAMEF13,Gm3286
PRAMEF2,Gm3286
PRAMEF33,Gm3286
PRAMEF1,Gm3286
PRAMEF10,Gm3286
PRAMEF4,Gm3286
PRAMEF17,Gm3286
PRAMEF7,Gm3286
PRAMEF27,Gm3286
PRAMEF26,Gm3286
PRAMEF14,Gm3286
PRAMEF9,Gm3286
PRAMEF25,Gm3286
PRAMEF6,Gm3286
PRAMEF18,Gm3286
RN7SKP262,Gm22342
RF00264,Snora64
SNORA64,Snora64
SNORA67,Gm24147
RNU6-1187P,Gm23354
SNORD52,Snord52
SNORD8,Snord8
RF01975,Gm27867
RNU6-1279P,Gm24449
SNORA68,Snora68
RF00635,Gm22842
RF00045,Gm25139
RF01877,Gm27998
SNORD116-2,Gm22046
SNORD116-8,Gm22046
SNORD116-3,Gm22046
SNORD116-1,Gm22046
SNORD116-5,Gm22046
SNORD116-4,Gm22046
SNORD116-7,Gm22046
SNORD116-9,Gm22046
SNORD116-6,Gm22046
RNU6-1038P,Gm23032
RNU6-731P,Gm25269
RNU6-847P,Gm25269
RNU6-1009P,Gm25269
RNU6-24P,Gm25815
RN7SL328P,Gm22876
RN7SL658P,Gm22876
RN7SL22P,Gm22876
RN7SL762P,Gm22876
RN7SL172P,Gm22876
RN7SL757P,Gm22876
RN7SL766P,Gm22876
RN7SL498P,Gm22876
RN7SL307P,Gm22876
RN7SL100P,Gm22876
RN7SL479P,Gm22876
RN7SL577P,Gm22876
RN7SL607P,Gm22876
RN7SL804P,Gm22876
RN7SL794P,Gm22876
RN7SL783P,Gm22876
RN7SL325P,Gm22876
RN7SL187P,Gm22876
RN7SL814P,Gm22876
RN7SL659P,Gm22876
RN7SL797P,Gm22876
RN7SL40P,Gm22876
RN7SL68P,Gm22876
RN7SL113P,Gm22876
RN7SL808P,Gm22876
RN7SL487P,Gm22876
RNU6-865P,Gm25619
RNU6-94P,Gm25619
RNU6-303P,Gm26099
RNU6-555P,Gm26099
RNU6-2,Gm26427
RNU6-1151P,Gm23369
RF00342,Gm24357
SNORD6,Gm24357
RNU6-1203P,Gm23056
RNU6-1048P,Gm25126
RNU6-144P,Gm22883
SNORD86,Gm23187
RNU6-190P,Gm24655
RNU1-87P,Gm25728
RF00334,Gm24698
SNORA3A,Gm24698
MIR592,Mir592
MIR27A,Mir27a
SNORA17A,Gm23128
MIR19B1,Mir19b-1
MIR96,Mir96
RNU6-695P,Gm23241
RNU2-14P,Gm22423
RF02252,Gm27427
RF00019,Gm22199
RF00100,Gm23409
RF01973,Gm27786
MIR598,Mir598
SNORA27,Gm23202
RF00423,Gm25825
RN7SKP216,Gm26023
SNORA57,Gm26132
SNORA35,Snora35
RNU4-2,Gm24407
RF00156,Gm26368
MIR150,Mir150
MIR130A,Mir130a
RF01905,Gm27337
RNU6-1278P,Gm22766
RNU6-1026P,Gm24686
RF00019,Rny1
RNY1P12,Rny1
RF02250,Gm27275
RNU6-886P,Gm24517
RNU6-1134P,Gm24517
RNA5SP527,Gm25885
RNU4-25P,Gm23214
RNU1-105P,Gm22738
MIR4657,Gm22123
SNORA69,Gm22784
RF00265,Gm22784
RNU6-36P,Gm23731
RNU6-656P,Gm23731
RN7SKP183,Gm23781
RF00136,Gm25802
MIR205,Mir205
RN7SKP32,Gm24675
SNORA1B,Gm22620
SNORA1,Gm22620
RF00004,Gm24497
RNU6-1205P,Gm23640
RF02184,Gm27444
RF00392,Gm23568
SNORA5B,Gm23568
RF00561,Gm24401
RN7SKP112,Gm22025
RN7SKP25,Gm22025
RN7SKP224,Gm22025
RN7SKP30,Gm22025
RN7SKP246,Gm22025
RN7SKP119,Gm22025
RNU6-1056P,Gm24202
MIR876,Mir876
RNU6-805P,Gm24283
RF02109,Gm27747
SNORD121A,Gm23090
SNORD71,Snord71
RNU6-63P,Gm22681
RNU6-685P,Gm22681
RNU2-47P,Gm22768
RNU2-20P,Gm22768
RNU6-87P,Gm25307
RNU6-295P,Gm25307
SNORD113-5,Gm22962
SNORD113-8,Gm22962
SNORD113-7,Gm22962
SNORD113-1,Gm22962
RF00561,Gm26251
RN7SKP40,Gm23069
RF02271,Gm27540
RNU5E-1,Gm24871
SNORD95,Gm25296
RF00088,Gm23389
RN7SKP179,Gm23548
SNORD88A,Snord88c
SNORD88B,Snord88c
SNORA13,Gm23362
RF02190,Gm28008
SNORD98,Snord98
RF01684,Gm27702
SNORD62A,Gm22192
RF02131,Gm27849
SNORD66,Snord66
RN7SKP24,Gm22227
MIRLET7A1,Mirlet7a-1
SNORA66,Gm26387
MIR181B2,Mir181b-2
RNU6-313P,Gm23982
RNU6-626P,Gm23275
RNU6-73P,Gm25453
SNORD53B,Gm22858
RN7SKP132,Gm22160
SNORD14E,Snord14e
SNORD31B,Gm23246
RNU6-1168P,Gm22228
SCARNA7,Gm22009
RF00561,Gm22382
SNORA52,Snora52
MIR26A1,Mir26a-1
RNU6-560P,Gm25930
SNORA55,Gm22154
RF01874,Gm27357
RNU6-148P,Gm22352
CCL19,Ccl19
RNU6-1128P,Gm25525
RNU6-765P,Gm25920
MIR204,Mir204
RN7SKP147,Gm22587
RN7SKP289,Gm26098
RF02201,Gm27602
RPS12,Rps12-ps3
RF02271,Gm27976
RF01954,Gm27611
SNORA37,Gm25133
SNORD115-45,Gm22496
SNORD105B,Gm23008
RF00560,Gm23129
SNORA6,Gm24044
SNORD116-2,Gm23089
SNORD116-8,Gm23089
SNORD116-3,Gm23089
SNORD116-1,Gm23089
SNORD116-5,Gm23089
SNORD116-4,Gm23089
SNORD116-7,Gm23089
SNORD116-9,Gm23089
SNORD116-6,Gm23089
MIR425,Mir425
RNU6-394P,Gm25881
SNORD115-46,Gm25499
RF00273,Mir677
RN7SKP122,Gm26362
RNU6-341P,Gm27942
RNU6-923P,Gm27942
RF00561,Gm25151
RNU6-1325P,Gm22013
RNU6-817P,Gm25666
SCARNA22,Gm22728
RNU6-1243P,Gm26327
RF00561,Gm26306
RNU6-68P,Gm23097
RNU6-81P,Gm23097
MIR1282,Gm22953
MIR340,Mir340
RF00026,Gm22764
RNU6-680P,Gm25364
SNORD64,Snord64
MIR770,Mir770
RNU6-641P,Gm24701
MIR502,Mir500
MIR628,Gm27353
RN7SKP100,Gm24139
RF01848,Rnu3b4
RF01970,Gm27999
RNU6-1324P,Gm23205
RNA5SP150,n-R5s106
RNU6-968P,Gm23851
RNA5SP535,n-R5s63
SCARNA3,Gm22416
RF00568,Gm24729
SNORA33,Snora33
RNU6-898P,Gm24851
SNORA8,Gm25791
RF00393,Gm25791
SNORA17A,Gm22266
RF00006,Vaultrc5
VTRNA2-2P,Vaultrc5
RNU6-611P,Gm22929
RF00026,Gm22929
RNU6-637P,Gm26002
RNU6ATAC20P,Gm26007
RNU6-645P,Gm23817
RF00024,Terc
RF00019,Gm24379
MIR450A1,Mir450-1
RF00004,Gm23472
RNU2-1,Gm23472
RF02271,Gm27980
RF01946,Gm27395
RF00560,Gm25756
RF00561,Gm22186
ZC3H11A,Zc3h11a
ZC3H11B,Zc3h11a
RF01964,Gm27419
RF02145,Gm27350
RNU6-7,Gm24859
RNU6-8,Gm24859
SNORD49A,Snord49a
RNU6-371P,Gm23848
MIR1225,Gm24589
SNORD113-6,AF357425
RF01986,Gm27404
MIR361,Mir361
SNORA54,Gm23297
RNU1-94P,Gm22054
SCARNA6,Scarna6
RNU6-1177P,Gm26061
RNU6-1241P,Gm22148
RNU6-340P,Gm22148
RNU6-1144P,Gm22148
RNU6-633P,Gm22148
RNU6-742P,Gm22148
SNORD116-2,Gm26032
SNORD116-8,Gm26032
SNORD116-3,Gm26032
SNORD116-1,Gm26032
SNORD116-5,Gm26032
SNORD116-4,Gm26032
SNORD116-7,Gm26032
SNORD116-9,Gm26032
SNORD116-6,Gm26032
SNORD116-2,Gm23862
SNORD116-8,Gm23862
SNORD116-3,Gm23862
SNORD116-1,Gm23862
SNORD116-5,Gm23862
SNORD116-4,Gm23862
SNORD116-7,Gm23862
SNORD116-9,Gm23862
SNORD116-6,Gm23862
RNU6-155P,Gm25718
RF01981,Gm27330
CCL21,Ccl21b
RNU6-1225P,Gm25323
RNU1-54P,Gm25514
RNA5S13,Gm22109
MIR370,Mir370
RF02149,Gm27522
RF02176,Gm27271
MIR154,Mir154
RNU1-97P,Gm24692
RNU1-17P,Gm24692
RNU1-95P,Gm24692
RNU1-41P,Gm24692
RNU1-128P,Gm24692
RNU1-124P,Gm24692
RNU1-107P,Gm24692
RNU1-86P,Gm24692
RNU1-48P,Gm24692
RNU1-40P,Gm24692
RF02175,Gm27834
SNORA67,Gm24151
SNORD60,Snord60
RNU2-30P,Gm23744
RNU1-80P,Gm23464
MIR345,Mir345
SNORD127,Gm25970
SNORD7,Snord7
RN7SKP82,Gm26415
RNA5SP150,Gm24312
RF00019,Gm24629
RNY1P2,Gm24629
SNORA80B,Gm22748
SNORD113-4,Gm23474
RNU6-987P,Gm25598
SNORD116-2,Gm24609
SNORD116-8,Gm24609
SNORD116-3,Gm24609
SNORD116-1,Gm24609
SNORD116-5,Gm24609
SNORD116-4,Gm24609
SNORD116-7,Gm24609
SNORD116-9,Gm24609
SNORD116-6,Gm24609
RF00410,Snora2b
RNA5SP343,n-R5s84
RN7SKP50,Gm25266
SNORD116-2,Gm22047
SNORD116-8,Gm22047
SNORD116-3,Gm22047
SNORD116-1,Gm22047
SNORD116-5,Gm22047
SNORD116-4,Gm22047
SNORD116-7,Gm22047
SNORD116-9,Gm22047
SNORD116-6,Gm22047
RNU6-704P,Gm25322
RNU6-255P,Gm25322
RNU6-216P,Gm25322
RNU6-528P,Gm25322
RNU6-944P,Gm25322
RNU6-543P,Gm25322
RNU6-1250P,Gm25322
RF01875,Gm27627
RNU6-837P,Gm22663
RN7SKP122,Gm22383
RNU6-1284P,Gm25335
MIR29C,Mir29c
RF01518,Gm27679
RNU6-1191P,Gm25371
RNU6-53P,Gm25371
RN7SKP254,Gm22982
RN7SKP290,Gm22982
RF02166,Gm27894
RNU6-34P,Gm24863
RF01928,Gm27528
SNORA13,Gm23639
MIR10B,Mir10b
RN7SKP192,Gm25545
RNU6-79P,Gm23567
RF00414,Gm24559
SNORA22B,Gm24559
SNORA22,Gm24559
SNORA22C,Gm24559
MIR7-1,Mir7-1
MIR484,Mir484
RF00421,Gm25876
RF00019,Gm24203
RNU1-115P,Gm23230
SNORD92,Snord92
RF00070,Gm22744
SNORD116-2,Snord116l1
SNORD116-8,Snord116l1
SNORD116-3,Snord116l1
SNORD116-1,Snord116l1
SNORD116-5,Snord116l1
SNORD116-4,Snord116l1
SNORD116-7,Snord116l1
SNORD116-9,Snord116l1
SNORD116-6,Snord116l1
RF00019,Rny3
RF02141,Gm27454
RNU6-1223P,Gm22770
RNU6-967P,Gm22770
RNU6-248P,Gm22770
SNORD116-2,Gm22941
SNORD116-8,Gm22941
SNORD116-3,Gm22941
SNORD116-1,Gm22941
SNORD116-5,Gm22941
SNORD116-4,Gm22941
SNORD116-7,Gm22941
SNORD116-9,Gm22941
SNORD116-6,Gm22941
RNU6-22P,Gm25258
RF02137,Gm28032
RF00100,Gm22075
RN7SKP88,Gm22075
SNORD3D,Rnu3b2
SNORD14D,Snord14d
RNU6-673P,Gm23196
RF02122,Gm27321
RNU6-373P,Gm23026
RF02118,Gm27838
RNU1-103P,Gm24547
MIR668,Mir668
SCARNA13,Scarna13
SNORD113-9,Gm24899
RNU6-399P,Gm22281
RNU6-486P,Gm22281
RNU6-338P,Gm22281
RNU6-250P,Gm23590
RNU1-33P,Gm26150
RNU6-369P,Gm23379
SNORD97,Gm23262
RNU6-643P,Gm25518
RNU6-985P,Gm25518
SNORD83A,Gm22077
MIR363,Mir363
RF00407,Gm26047
RF01966,Gm27582
SNORA108,Gm24453
SNORD28B,Gm24453
SNORD28,Gm24453
RNU6-843P,Gm23725
MIR30E,Mir30e
RN7SKP205,Gm25844
MIR23B,Mir23b
RN7SKP22,Gm23218
RN7SKP150,Gm23218
RNU6-913P,Gm22004
MIR339,Mir339
RF00278,Gm23017
SNORD50B,Gm23017
RNU6-386P,Gm23057
RF01159,Gm22571
SNORD116-2,Snord116l2
SNORD116-8,Snord116l2
SNORD116-3,Snord116l2
SNORD116-1,Snord116l2
SNORD116-5,Snord116l2
SNORD116-4,Snord116l2
SNORD116-7,Snord116l2
SNORD116-9,Snord116l2
SNORD116-6,Snord116l2
RNU4-27P,Gm25899
RNU4-13P,Gm25899
RNU6-311P,Gm24927
RNU6-1234P,Gm26360
RNU1-87P,Gm22145
RNU6-865P,Gm26271
RNU6-94P,Gm26271
RN7SKP60,Gm25454
RNA5S3,n-R5s146
RNU6-394P,Gm23194
RF00423,Gm26039
MIR155,Mir155
SNORA63E,Gm25852
SNORA38B,Gm25388
RF00428,Gm25388
SNORD88A,Snord88a
SNORD88B,Snord88a
RF00560,Gm22439
MIR448,Mir448
RF00410,Gm22806
RNU6-1189P,Gm25327
RN7SKP82,Gm22552
SNORA28,Snora28
SNORD86,Gm25432
RF00019,Gm22016
MIR139,Mir139
MIR424,Mir322
RF00072,Gm22972
SNORA75B,Gm22972
RNU6-133P,Gm23203
MIR194-1,Mir194-1
SCARNA12,Gm23547
RF01881,Gm27927
RF00026,Gm24086
RNU6-268P,Gm24223
RNU1-103P,Gm23039
RN7SKP299,Gm22839
RF02271,Gm27421
RNU6-1186P,Gm25895
RNU6-960P,Gm25895
RF02159,Gm28016
RF00019,Gm25427
RNU6-261P,Gm25565
RF02209,Gm27538
SNORD114-31,DQ267101
RF00278,Gm24463
SNORD50B,Gm24463
RNU6-640P,Gm24128
RF00399,Gm24252
RNU6-1330P,Gm23219
SCARNA3,Gm22387
SNORD116-2,Gm26201
SNORD116-8,Gm26201
SNORD116-3,Gm26201
SNORD116-1,Gm26201
SNORD116-5,Gm26201
SNORD116-4,Gm26201
SNORD116-7,Gm26201
SNORD116-9,Gm26201
SNORD116-6,Gm26201
RNU6-155P,Gm26034
RF00015,Gm22106
RF00015,Gm24141
MIR375,Mir375
MIR337,Mir337
RN7SKP168,Gm24990
RF02091,Gm27545
SNORA41B,Gm25409
RNU6-690P,Gm25552
RF00561,Gm25183
RNU6-548P,Gm23038
RNU4-56P,Gm22005
RNU4-49P,Gm22005
RF00432,Gm24454
MIR33A,Mir33
RNU105C,Gm22053
MIR423,Mir423
RNU6-274P,Gm24875
RF01987,Gm27645
SNORA75,Snora75
RF00045,Snora73b
SNORD113-3,Gm24564
SNORD42B,Snord42b
RNA5S17,n-R5s138
RF00612,Gm24051
RNU6-636P,Gm25061
RF01848,Rnu3b1
RNU1-73P,Gm24691
RNU1-31P,Gm24691
SNORA44,Snora44
RPL29,Gm3550
RNU6-842P,Gm25431
RNU6-829P,Gm22621
RF00026,Gm23819
RF00604,Gm25108
SNORD114-31,Gm24598
SNORD38A,Snord38a
RNU6-472P,Gm22543
RF01848,Rnu3b3
RN7SKP198,Gm23884
RNU6-400P,Gm26359
SNORD104,Snord104
RN7SKP14,Gm22604
RNU6-937P,Gm24381
RNU6-312P,Gm24381
RNU6-907P,Gm26412
RF00019,Gm25223
SNORD100,Snord100
MIR183,Mir183
RF02040,Gm27280
RNU6-285P,Gm25713
RNU6-92P,Gm25713
SNORA65,Gm26075
SNORA63B,Gm24201
RN7SKP40,Gm23775
MIR193A,Mir193a
SNORD116-2,Gm25155
SNORD116-8,Gm25155
SNORD116-3,Gm25155
SNORD116-1,Gm25155
SNORD116-5,Gm25155
SNORD116-4,Gm25155
SNORD116-7,Gm25155
SNORD116-9,Gm25155
SNORD116-6,Gm25155
RF00413,Gm22027
RF01518,Gm27940
RN7SKP92,Gm25557
RF01984,Gm27761
MIR34B,Mir34b
RF02112,Gm27660
RF02187,Gm27960
RN7SKP61,Gm25782
RNU1-133P,Gm22082
RNU1-23P,Gm22082
MIR382,Mir382
SNORA67,Gm25697
MIR505,Mir505
RNU6-830P,Gm25705
RF02140,Gm27817
RNU6-1318P,Gm23942
MIR196B,Mir196b
SNORD121B,Gm22888
RF01873,Gm27919
RF00492,Gm27653
MIR133B,Mir133b
SNORD116-2,Gm22776
SNORD116-8,Gm22776
SNORD116-3,Gm22776
SNORD116-1,Gm22776
SNORD116-5,Gm22776
SNORD116-4,Gm22776
SNORD116-7,Gm22776
SNORD116-9,Gm22776
SNORD116-6,Gm22776
RF02271,Gm27855
RNU6-1189P,Gm25739
RNU6-895P,Gm26369
RF00560,Gm23321
RF02120,Gm27987
RNU2-29P,Gm23118
RNU2-12P,Gm22451
RNU6-657P,Gm25047
SNORD32A,Snord32a
RF00133,Snord32a
SNORD32B,Snord32a
RF02043,Gm27866
RNVU1-4,Gm25513
RF00003,Gm25513
RNVU1-3,Gm25513
RF02173,Gm27698
RNU1-149P,Gm23435
MIR122,Mir122
RNU6-12P,Gm22821
MIR496,Mir496a
RF00015,Gm25882
SNORD114-31,Gm27604
SNORA25B,Gm23353
RNU6-294P,Gm22359
KISS1,Kiss1
RN7SKP234,Gm23085
RF02119,Gm27798
RNU6-572P,Gm22221
RNU6-1044P,Gm22221
RF00019,Gm22431
RF00425,Gm26186
SNORA18,Gm26186
MIR222,Mir222
SNORD70B,Gm26293
RF02138,Gm27492
RNU6-129P,Gm26000
RF00407,Gm23786
RNU6-657P,Gm22796
RNU6-136P,Gm27659
RNU6-573P,Gm27659
RF02271,Gm27390
RNU6-87P,Gm26129
RNU6-295P,Gm26129
RNU6-84P,Gm25225
RNU6-6P,Gm24486
RNU6-483P,Gm23506
RN7SKP35,Gm26407
RF02205,Gm27308
SNORD116-2,Gm22417
SNORD116-8,Gm22417
SNORD116-3,Gm22417
SNORD116-1,Gm22417
SNORD116-5,Gm22417
SNORD116-4,Gm22417
SNORD116-7,Gm22417
SNORD116-9,Gm22417
SNORD116-6,Gm22417
SNORD114-31,Gm25357
RNU6-1290P,Gm25886
SNORD33,Snord33
RNU6-1277P,Gm22755
MIR711,Mir711
RNU6-1301P,Gm23106
RF02166,Gm27718
RNU6-551P,Gm25985
RF00426,Gm23370
SCARNA4,Gm23370
RNU6-319P,Gm22845
RNU6-1048P,Gm26501
RNU1-75P,Gm22611
RNU6-126P,Gm26484
RNU6-1236P,Gm26484
RNU6-781P,Gm26484
MIR1306,Mir1306
RNU6-351P,Gm24546
RNU6-489P,Gm26468
RNU6-642P,Gm26468
RNU6-306P,Gm26468
RNU6-1192P,Gm26468
RNU6-224P,Gm26076
RN7SKP298,Gm26480
RNU6-382P,Gm26038
RF01948,Gm27803
RN7SKP101,Gm25843
RNU6-1159P,Gm25039
RNU6-115P,Gm25039
RF00560,Gm25344
RF01891,Gm27517
RNU6-153P,Gm25160
MIR126,Mir126a
REEP2,Reep2
RNU6-829P,Gm24676
RNU6-412P,Gm26084
SNORD69,Snord69
SNORD116-2,Gm25944
SNORD116-8,Gm25944
SNORD116-3,Gm25944
SNORD116-1,Gm25944
SNORD116-5,Gm25944
SNORD116-4,Gm25944
SNORD116-7,Gm25944
SNORD116-9,Gm25944
SNORD116-6,Gm25944
SNORD58B,Gm22354
RF00151,Gm22354
MIR128-1,Mir128-1
RNU1-97P,Gm23727
RNU1-17P,Gm23727
RNU1-95P,Gm23727
RNU1-41P,Gm23727
RNU1-128P,Gm23727
RNU1-124P,Gm23727
RNU1-107P,Gm23727
RNU1-86P,Gm23727
RNU1-48P,Gm23727
RNU1-40P,Gm23727
RNU6-1277P,Gm25521
SNORD84,Gm22589
SNORD116-2,Gm25816
SNORD116-8,Gm25816
SNORD116-3,Gm25816
SNORD116-1,Gm25816
SNORD116-5,Gm25816
SNORD116-4,Gm25816
SNORD116-7,Gm25816
SNORD116-9,Gm25816
SNORD116-6,Gm25816
RN7SKP244,Gm22257
RNA5S3,Gm25018
RF02275,Gm27265
RNU4-29P,Gm22479
RNU6-466P,Gm22384
RF00394,Gm25582
RNU1-73P,Gm23895
RNU1-31P,Gm23895
RNU6-40P,Gm22307
RNU6-21P,Gm22306
MIR3618,Gm24572
RNU6-991P,Gm24796
MIR1-1,Mir1a-1
RNU2-27P,Gm25475
RNU6-284P,Gm22301
RNU6-729P,Gm22301
RNU6-701P,Gm22301
RNU6-359P,Gm22301
RNU6-1105P,Gm22301
SNORD116-2,Gm24264
SNORD116-8,Gm24264
SNORD116-3,Gm24264
SNORD116-1,Gm24264
SNORD116-5,Gm24264
SNORD116-4,Gm24264
SNORD116-7,Gm24264
SNORD116-9,Gm24264
SNORD116-6,Gm24264
SNORA31,Snora31
RF00426,Mir1839
RNU6-966P,Gm23013
RNU6-1194P,Gm24724
RN7SKP183,Gm23591
RF00278,Snord50a
SNORD50B,Snord50a
